indicator,area,period,value,unit,page,provenance,evidence,unit_range,arithmetic,cross_read,status,reason
menages_internet,Littoral Nord,Variation (points),14.2,points,2,True,True,True,True,match,verified,
menages_internet,Littoral Sud,2023,55.7,%,2,True,True,True,True,match,verified,
menages_internet,Littoral Sud,2025,69.4,%,2,True,True,True,True,match,verified,
menages_internet,Littoral Sud,Variation (points),13.7,points,2,True,True,True,True,match,verified,
menages_internet,Plateau Central,2023,33.2,%,2,True,True,True,True,match,verified,
menages_internet,Plateau Central,2025,46.8,%,2,True,True,True,True,match,verified,
menages_internet,Plateau Central,Variation (points),13.6,points,2,True,True,True,True,match,verified,
menages_internet,Vallée de l'Est,2023,47.9,%,2,True,True,True,True,match,verified,
menages_internet,Vallée de l'Est,2025,60.2,%,2,True,True,True,True,match,verified,
menages_internet,Vallée de l'Est,Variation (points),12.3,points,2,True,True,True,True,match,verified,
menages_internet,Hauts Plateaux,2023,38.4,%,2,True,True,True,True,match,verified,
menages_internet,Hauts Plateaux,2025,51.1,%,2,True,True,True,True,match,verified,
menages_internet,Hauts Plateaux,Variation (points),12.7,points,2,True,True,True,True,match,verified,
menages_internet,Extrême Ouest,2023,35.6,%,2,True,True,True,True,match,verified,
menages_internet,Extrême Ouest,2025,47.9,%,2,True,True,True,True,match,verified,
menages_internet,Extrême Ouest,Variation (points),12.3,points,2,True,True,True,True,match,verified,
menages_internet,Ensemble du pays,2023,48.2,%,2,True,True,True,True,match,verified,
menages_internet,Ensemble du pays,2025,61.4,%,2,True,True,True,True,match,verified,
menages_internet,Ensemble du pays,Variation (points),13.2,points,2,True,True,True,True,match,verified,
